5,19,[(4,71,18)]
3,13,[(4,1,10)]
3,23,[(3,5,2),(4,3791,1420)]
3,37,[(4,25,14)]
7,11,[(1,2,1),(1,13,2),(1,53,4),(1,5206,1505),(4,2,3),(4,73,18),(4,278,51),(4,3154,915),(4,6233,474)]
3,67,[(1,8,1),(4,823,280)]
3,47,[(3,1,2),(3,14,3),(3,3994,637),(3,8009,68),(4,22,5),(4,914,155),(4,9023,380)]
5,37,[(2,13,2)]
5,11,[(4,39,14)]
3,71,[(3,173,10)]
5,29,[(2,8,3),(2,12,1),(4,9,14),(4,111,22),(4,5039,876)]
3,29,[(4,13,4)]
7,17,[(4,19,30)]
3,5,[(4,1,2),(4,959,124)]
3,19,[(1,4,1),(4,7,44)]
5,31,[(3,7,2),(3,143,8),(4,281,138),(4,3001,570)]
5,41,[(1,6,1),(1,14,15),(1,25414,63),(4,119,138),(4,159,26),(4,279,76)]
7,19,[(3,66,5)]
7,23,[(1,4,1),(1,19,2),(1,661,638),(1,8891,1978),(4,40,33),(4,80,9),(4,97,60)]
5,13,[(2,7,2),(2,8,1),(2,47,70),(2,1072,377),(4,4,3),(4,524,69),(4,959,264),(4,5201,876)]
7,31,[(3,9,2)]
3,73,[(1,5,2),(4,15479,1500)]
3,7,[(1,2,1),(1,3622,111),(4,17,10)]
5,43,[(4,4261,1848)]
5,17,[(2,2,3),(4,6881,498)]
11,29,[(4,36071,1710)]
13,17,[(1,2,1),(1,202,7),(1,1358,247),(4,55,18),(4,217,30),(4,545,564)]
3,103,[(1,10,1),(4,2191,530)]
3,97,[(1,7,2),(1,1567,234),(1,13457,814),(4,95,68)]
7,47,[(3,95,6)]
5,61,[(2,7,4),(2,17,2),(4,41,18),(4,1559,246)]
5,71,[(3,3,2),(3,787,264),(3,7453,1140),(4,279,34),(4,22639,1812)]
11,31,[(1,50,3)]
7,41,[(4,143,12)]
7,37,[(1,5,6),(1,325,72),(4,2969,330)]
3,83,[(3,140,9)]
3,109,[(4,97,22)]
5,53,[(2,3,4)]
13,19,[(4,3,4)]
7,43,[(1,6,1),(1,11,6),(1,419,24),(4,18,5),(4,23,150),(4,2166,235)]
5,79,[(3,1,2),(4,11689,1554),(4,25279,636)]
5,67,[(4,31,6)]
7,53,[(1,29,2),(1,131,104),(4,25,18)]
13,29,[(1,4,1),(1,248,35),(1,376,437),(1,1936,133),(2,11,4),(2,19,2),(2,37,110),(2,5611,136),(3,8,99),(3,32,3),(3,76,15),(3,292,9),(4,23,18),(4,313,84),(4,2297,294),(4,9383,582)]
17,23,[(4,195,14)]
11,37,[(4,7,18)]
3,131,[(3,872,455)]
5,83,[(4,3359,174)]
13,37,[(2,15,4),(2,20,3),(2,6255,544),(2,36860,1107),(4,12,5),(4,15588,875)]
3,163,[(1,20,133)]
7,71,[(1,8,1),(1,37,28),(1,16229,1100),(4,208,51),(4,527,312),(4,7072,957)]
3,173,[(4,851,160)]
7,73,[(4,255,16)]
19,29,[(4,755,84)]
3,179,[(3,8,3)]
5,107,[(4,149,48)]
19,23,[(1,2,1),(4,433,42)]
13,43,[(4,881,210)]
3,149,[(4,47,42)]
5,89,[(1,3,2),(1,77,12),(4,351,38),(4,2769,590),(4,28399,2028)]
19,31,[(3,162,35),(3,433,30),(4,6,5)]
5,97,[(2,22,1)]
3,167,[(3,61,6)]
5,101,[(4,81,22)]
7,67,[(1,1605,814)]
17,31,[(4,49,120)]
11,43,[(3,536,65)]
3,157,[(4,145,26)]
3,199,[(1,14,1),(4,9007,1414)]
3,197,[(4,97,10)]
17,37,[(2,2,5)]
11,47,[(1,6,1),(4,193,174)]
5,109,[(2,17,4),(2,23,2),(4,31,174),(4,431,42)]
7,79,[(1,1563,400)]
5,113,[(2,22,3)]
7,83,[(3,22,3)]
5,131,[(4,519,46)]
11,61,[(4,25,6)]
11,59,[(1,192,5)]
23,29,[(1,21,2),(1,739,84),(4,63,22)]
3,227,[(3,4,3)]
3,239,[(3,2,3),(3,23,4),(4,118,11),(4,3482,427),(4,58073,1446)]
7,103,[(3,3,2),(3,92,21),(4,360,19),(4,13920,1573)]
13,53,[(2,8,5),(2,548,95),(4,199,30)]
5,139,[(4,151,186)]
5,149,[(1,8,21),(1,12,1),(2,27,2),(2,93,130),(2,667,60),(2,4427,468),(3,16,3),(3,1164,319),(3,4476,1007),(3,5816,51),(3,11916,73),(4,129,26),(4,2529,610),(4,4439,924)]
17,41,[(2,21,4)]
7,107,[(1,10,1),(1,9395,1376),(4,1751,570)]
13,59,[(4,23,6)]
17,47,[(3,15,2),(3,15,1862),(3,25,6),(3,665,234),(4,399,20),(4,801,280),(4,2991,220),(4,13999,1860)]
7,113,[(1,1,2),(4,50623,900)]
5,157,[(2,23,4),(2,28,1),(4,76,9),(4,4796,1335)]
3,269,[(4,13,48)]
5,163,[(4,5921,546)]
3,277,[(4,265,34)]
5,173,[(2,28,3),(2,457,120),(4,116,51)]
13,67,[(4,4029,320)]
5,181,[(4,719,54)]
7,127,[(1,45,2)]
17,53,[(1,6,1),(1,554,63),(1,3134,273),(2,30,1),(2,178,135),(2,3690,767),(3,23,6),(3,313,36),(3,687,52),(4,15,22),(4,577,210),(4,54255,1864)]
11,79,[(3,2231,130)]
3,307,[(1,8,3)]
5,191,[(3,33,4),(4,11241,1582)]
7,131,[(3,214,9)]
7,137,[(1,5,2)]
23,41,[(4,159,140)]
5,197,[(2,27,4)]
3,311,[(3,5477,780)]
3,317,[(4,9683,900)]
13,73,[(2,18,5)]
5,193,[(2,758,65)]
19,53,[(4,17,6)]
3,337,[(1,17,2),(1,703,126),(4,145,92)]
13,79,[(3,57,4),(3,1527,1334),(4,737,222)]
3,349,[(4,337,38)]
7,151,[(1,12,1),(1,43,6),(4,216,145),(4,528,23),(4,4127,948)]
5,211,[(4,2281,630)]
11,97,[(1,71,12),(1,769,72)]
3,359,[(3,443,16)]
13,89,[(2,34,1)]
23,47,[(1,27,2)]
3,389,[(4,193,14)]
5,239,[(3,79,6),(3,4329,44),(4,951,62)]
3,397,[(4,575,222)]
11,101,[(4,4085,192)]
7,163,[(1,51,2)]
29,41,[(2,862,15)]
17,71,[(4,13677,1586)]
7,167,[(3,20,3),(3,3835,1914),(3,7715,54),(4,544,75)]
5,229,[(4,1391,258)]
11,107,[(3,28,3)]
5,241,[(4,559,222)]
3,409,[(1,19,2),(1,989,42),(4,2663,472)]
11,113,[(1,833,390),(1,6447,550)]
17,73,[(2,35,2)]
29,43,[(4,7,6)]
5,271,[(3,223,10),(3,1753,28),(4,1079,66)]
7,193,[(1,9,2),(1,59,36),(1,221,12),(1,1599,154),(4,93,10),(4,675,26)]
3,431,[(3,38,5),(3,3527,550)]
3,419,[(3,292,13)]
3,421,[(4,7079,890)]
31,41,[(1,25,2),(1,133,20),(1,619,380),(1,1255,14),(1,5387,1120),(4,5,6),(4,595,78),(4,1943,180)]
23,59,[(1,6,1),(1,27,20),(4,902,93),(4,1033,246),(4,2378,147)]
7,197,[(4,169,30)]
19,67,[(3,3072,925)]
5,269,[(2,7,6),(2,33,4),(4,249,34),(4,12231,1130)]
3,439,[(1,14,3)]
7,191,[(1,211,20)]
11,127,[(3,7,2)]
3,433,[(1,7465,418),(4,241,100)]
19,71,[(3,3923,30)]
5,277,[(2,37,2)]
13,107,[(4,415,42)]
5,283,[(4,139,12)]
3,467,[(3,916,23)]
17,83,[(3,7,6),(4,5295,292)]
3,487,[(1,22,1)]
19,79,[(3,15,2),(3,74,15),(3,13166,495),(4,30,7)]
11,137,[(1,91,12),(4,567,116)]
3,499,[(1,16,3)]
3,509,[(4,253,16)]
7,227,[(3,290,33)]
13,109,[(2,11,6)]
7,223,[(3,103,24)]
37,43,[(4,13419,580)]
5,317,[(2,17,6),(2,992,45),(4,44,57)]
3,479,[(3,17,4),(3,82,7),(4,118,57),(4,21722,1639)]
31,47,[(1,4,1),(1,127,110),(1,8329,1178),(4,728,27),(4,1393,156)]
7,233,[(1,11,2),(1,61,2),(1,461,286),(4,167,60),(4,2071,240),(4,2465,576),(4,18425,1668)]
23,67,[(3,86,221)]
5,293,[(2,13,6)]
3,547,[(1,1108,91)]
7,211,[(1,53,6)]
13,113,[(1,10,1),(4,1031,630)]
37,41,[(1,2,1),(4,1513,78)]
29,53,[(2,39,2),(2,793,120),(4,63,26)]
11,151,[(3,5,2),(3,82,5),(4,70,9)]
19,83,[(1,8,1),(4,553,408)]
5,337,[(2,34522,29)]
23,73,[(1,5,12)]
7,241,[(4,531,170)]
13,131,[(4,7601,930)]
11,157,[(4,3407,366)]
17,101,[(4,33,26)]
17,97,[(2,32,5),(4,376,315)]
13,127,[(3,9,2)]
17,103,[(3,13,2)]
3,557,[(4,157,60)]
3,563,[(3,500,17)]
11,167,[(3,3,2),(3,162,7),(4,362,69),(4,3326,1515)]
3,577,[(1,23,2),(1,1177,14),(4,14975,1524)]
29,61,[(2,1157,1870)]
5,373,[(2,43,2)]
37,47,[(3,1055,126),(3,7975,1968),(4,151,30)]
7,263,[(1,16,1),(1,2029,592),(1,16579,608),(4,880,93)]
7,257,[(4,899,30)]
7,271,[(3,39,4)]
5,379,[(4,1511,78)]
5,353,[(2,42,1)]
13,137,[(2,34,5)]
3,599,[(3,13,4)]
23,79,[(3,17,2)]
3,613,[(4,601,50)]
3,643,[(1,20,3)]
3,647,[(3,11,4)]
7,281,[(1,11,10),(1,13,2),(1,67,2),(1,2011,110),(4,137,12),(4,167,108),(4,671,180),(4,943,96),(4,22823,1368)]
23,83,[(3,1450,273)]
17,113,[(2,25,6),(2,36,5),(4,960,31),(4,6360,1001)]
11,181,[(4,137,30)]
3,673,[(1,25,2)]
13,157,[(1,12,1),(1,432,77),(2,45,2),(2,813,140),(3,136,21),(3,236,153),(3,1904,69),(4,425,246),(4,3143,1020),(4,12665,678)]
13,149,[(2,41,4),(2,44,1),(4,68,9)]
5,401,[(3,2,3)]
5,409,[(1,2,3),(1,182,3),(4,89,108),(4,1489,690)]
3,659,[(3,208,11)]
5,389,[(3,4,3)]
19,103,[(3,69,4)]
37,53,[(1,4,1),(4,1897,180)]
23,89,[(4,1023,32)]
43,47,[(1,2,1),(4,2017,90)]
19,109,[(4,45,8)]
5,419,[(4,1671,82)]
31,67,[(1,6,1),(1,121,12),(1,817,30),(4,18,7),(4,1753,294),(4,37182,1351)]
5,421,[(1,4,3),(1,176,15),(2,43,4),(2,1147,10),(2,10763,1496),(3,52,5),(3,2392,1121),(3,11272,71),(4,401,42),(4,10321,1638)]
29,73,[(2,46,1)]
5,433,[(2,6298,1853)]
3,709,[(4,263,246)]
17,127,[(3,65,4)]
31,71,[(1,521,40)]
3,719,[(3,7,4),(3,34,5),(4,358,19),(4,9482,909)]
5,439,[(3,29,4)]
7,311,[(3,16,3),(3,59,24),(4,1088,33)]
7,313,[(4,13185,1612)]
3,727,[(1,22,3)]
3,743,[(3,5,4)]
23,97,[(4,1075,102)]
13,173,[(4,121,30)]
37,61,[(2,31,6),(2,1152,85),(2,13704,493),(4,12,7)]
43,53,[(4,119,30)]
31,73,[(4,819,190)]
5,461,[(2,48,1),(2,13868,357),(4,1839,86)]
3,769,[(1,1,4),(1,9961,456),(4,577,124)]
7,331,[(1,18,1),(1,197,36),(1,8803,198),(4,162,13)]
23,103,[(3,640,91),(3,845,532),(4,1144,105)]
5,479,[(3,3921,506),(4,1209,710)]
31,79,[(3,551,30),(3,636,55),(4,1224,35)]
7,337,[(1,15,2)]
13,179,[(4,703,54)]
17,137,[(4,951,140)]
3,787,[(1,28,1)]
3,797,[(4,397,20)]
29,83,[(4,303,38)]
19,131,[(1,1876,425)]
47,53,[(1,641,132),(1,1161,154)]
5,499,[(4,1591,294)]
3,823,[(1,1390,77)]
3,829,[(4,817,58)]
41,61,[(1,70,3),(1,790,99),(2,10,7),(2,50,1),(3,157,10),(3,749,130),(3,1309,460),(3,19363,440),(4,103,30),(4,583,1020)]
7,359,[(1,37,10),(1,1588,275)]
3,839,[(3,107,8)]
5,509,[(2,12,7),(4,489,46)]
17,149,[(1,38,15)]
